"variable","group","n","mean","sd","median","min","max","frequencies"
"TiA_TiA","L0",0,NA,NA,NA,Inf,-Inf,NA
"TiA_TiA","L2 H-off",20,4.12,0.69,4,2,5,NA
"TiA_TiA","L2 H-on",20,3.42,1.02,4,2,5,NA
"CTAM_PE","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_PE","L2 H-off",20,5.53,1.03,5.17,4,7,NA
"CTAM_PE","L2 H-on",20,5.08,1.18,5.33,3,7,NA
"CTAM_EE","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_EE","L2 H-off",20,6.12,0.99,6.38,3,7,NA
"CTAM_EE","L2 H-on",20,5.89,0.73,5.88,4,7,NA
"CTAM_ATT","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_ATT","L2 H-off",20,5.55,0.95,5.5,4,7,NA
"CTAM_ATT","L2 H-on",20,4.54,1.22,4.25,2,7,NA
"CTAM_FC","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_FC","L2 H-off",20,5.57,1.17,5.83,3,7,NA
"CTAM_FC","L2 H-on",20,5.15,1.01,5.33,3,7,NA
"CTAM_ITU","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_ITU","L2 H-off",20,5.88,1.27,6.17,3,7,NA
"CTAM_ITU","L2 H-on",20,5.63,1.53,6.17,2,7,NA
"CTAM_PS","L0",0,NA,NA,NA,Inf,-Inf,NA
"CTAM_PS","L2 H-off",20,4.99,0.97,4.75,4,7,NA
"CTAM_PS","L2 H-on",20,4.01,1.13,4,2,6,NA
"SU_System_sum","L0",0,NA,NA,NA,Inf,-Inf,NA
"SU_System_sum","L2 H-off",20,87.27,11.57,86.36,64,100,NA
"SU_System_sum","L2 H-on",20,87.27,12.65,90.91,55,100,NA
"SU_Role_sum","L0",0,NA,NA,NA,Inf,-Inf,NA
"SU_Role_sum","L2 H-off",20,88.12,13.74,87.5,50,100,NA
"SU_Role_sum","L2 H-on",20,87.5,20.28,100,25,100,NA
